"Wiretap Table A-1. United States District Courts
Report of Court-Authorized Intercepts of Wire, Oral, or Electronic Communications Pursuant to 18 U.S.C. 2519
DISTRICT OF COLUMBIA,2018-69785,MOSS,DOWNING,DRUGS - ILLEGAL,WC,D,43280.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2018-69786,MOSS,DAVID C. RYBICKI,DRUGS - ILLEGAL,WC,D,43349.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2018-69787,MOSS,DAVID C. RYBICKI,DRUGS - ILLEGAL,WC,D,43349.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
DISTRICT OF COLUMBIA,2018-77666,MEHTA,MINER,RACKETEERING,WC,D,43166.0,30.0,1.0,60.0,INSTALLED AND USED,34.0,145.0,60,"4,937",804,39044.0,4080.0,18.0,0.0,0.0,0.0,0.0,0.0,,
DISTRICT OF COLUMBIA,2018-77668,HOWELL,RYBICKI,NARCOTICS,WC,D,43187.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,5.0,10,142,16,44572.0,5420.0,1.0,0.0,0.0,0.0,0.0,1.0,,
DISTRICT OF COLUMBIA,2018-77670,MEHTA,HULSER,RACKETEERING,WC,D,43209.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,55.0,45,"1,661",750,0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77666,RELATED TO NO. 2018-77666
DISTRICT OF COLUMBIA,2018-77672,JACKSON,MINER,FIREARMS,"WC,WO",D,43245.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,0.0,5,5,0,46612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DISTRICT OF COLUMBIA,2018-77674,MEHTA,RYBICKI,RACKETEERING,WC,D,43252.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,391.0,109,"23,096","4,426",0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77666,RELATED TO NO. 2018-77666
DISTRICT OF COLUMBIA,2018-77676,MEHTA,RYBICKI,RACKETEERING,WC,D,43265.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,128.0,7,"3,444",384,0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77666,RELATED TO NO. 2018-77666
DISTRICT OF COLUMBIA,2018-77678,JACKSON,HULSER,FIREARMS,"WC,WO",D,43266.0,30.0,1.0,60.0,INSTALLED AND USED,55.0,11.0,20,623,501,0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77672,RELATED TO NO. 2018-77672
DISTRICT OF COLUMBIA,2018-77680,KELLY,MINER,FIREARMS,"WC,WO",D,43271.0,30.0,1.0,60.0,INSTALLED AND USED,51.0,4.0,16,228,228,60608.0,2392.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DISTRICT OF COLUMBIA,2018-77682,MOSS,DOWNING,NARCOTICS,"EO,WC,WO",D,43280.0,30.0,0.0,30.0,INSTALLED AND USED,7.0,8.0,31,59,59,18031.0,940.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DISTRICT OF COLUMBIA,2018-77684,MCFADDEN,HULSER,MURDER,WC,D,43321.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,53.0,57,420,420,11773.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,,
DISTRICT OF COLUMBIA,2018-77686,MEHTA,HULSER,RACKETEERING,WC,D,43327.0,30.0,0.0,30.0,INSTALLED AND USED,21.0,1100.0,109,"23,096","4,426",0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77666,RELATED TO NO. 2018-77666
DISTRICT OF COLUMBIA,2018-77688,MOSS,RYBICKI,NARCOTICS,"EO,WC,WO",D,43349.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,6.0,25,83,39,0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77682,RELATED TO NO. 2018-77682
DISTRICT OF COLUMBIA,2018-77690,MOSS,RYBICKI,NARCOTICS,"EO,WC,WO",D,43349.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,1.0,18,15,14,0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77682,RELATED TO NO. 2018-77682
DISTRICT OF COLUMBIA,2018-77692,COOPER,HULSER,NARCOTICS,"WC,WO",D,43350.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,27.0,32,771,428,0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77672,RELATED TO NO. 2018-77672
DISTRICT OF COLUMBIA,2018-77694,MEHTA,RYBICKI,RACKETEERING,WC,D,43364.0,30.0,0.0,30.0,INSTALLED AND USED,10.0,242.0,18,"2,421",516,0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77666,RELATED TO NO. 2018-77666
DISTRICT OF COLUMBIA,2018-77696,MCFADDEN,MINER,NARCOTICS,WC,D,43403.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,60.0,55,"1,752",413,45653.0,11471.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-77684
DISTRICT OF COLUMBIA,2018-77698,WALTON,MINER,NARCOTICS,"WC,WO",D,43411.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,18.0,11,522,0,31835.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2016-74809,BYRON,DOWNING,NARCOTICS,WC,D,42696.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,454.0,222,"13,610","1,084",27866.0,1700.0,9.0,0.0,0.0,0.0,0.0,9.0,,
FLORIDA MIDDLE,2017-74796,HONEYWELL,HULSER,NARCOTICS,TX,D,42951.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,24.0,11,655,557,10407.0,1013.0,15.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2017-74798,HONEYWELL,HULSER,NARCOTICS,TX,D,42913.0,30.0,1.0,60.0,INSTALLED AND USED,30.0,120.0,20,"3,600","2,207",13284.0,1013.0,0,0,0.0,0.0,0.0,0,,
FLORIDA MIDDLE,2017-74800,BYRON,SWARTZ,NARCOTICS,WC,D,42753.0,30.0,1.0,60.0,INSTALLED AND USED,43.0,95.0,189,"4,103",618,37668.0,1300.0,0,0,0.0,0.0,0.0,0,,
FLORIDA MIDDLE,2017-74803,HONEYWELL,RYBICKI,NARCOTICS,WC,D,42985.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,25452.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2018-68909,SCRIVEN,MATTHEW MINER,DRUGS - ILLEGAL,WC,D,43199.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-69860,SCRIVEN,MATTHEW MINER,DRUGS - ILLEGAL,WC,D,43199.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70661,HERNANDEZ COVINGTON,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43350.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70662,HERNANDEZ COVINGTON,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43350.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70663,HERNANDEZ COVINGTON,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43409.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70664,HERNANDEZ COVINGTON,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43409.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70665,HERNANDEZ COVINGTON,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43409.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70666,HERNANDEZ COVINGTON,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43207.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70667,HERNANDEZ COVINGTON,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43279.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70668,HERNANDEZ COVINGTON,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43279.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70669,HERNANDEZ COVINGTON,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43279.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70670,HERNANDEZ COVINGTON,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43279.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70671,HERNANDEZ COVINGTON,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43312.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70672,HERNANDEZ COVINGTON,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43312.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70673,HERNANDEZ COVINGTON,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43350.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-70674,HERNANDEZ COVINGTON,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43350.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71253,"MOODY, JR.",JOHN CRONAN,CONSPIRACY,WC,D,43213.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71263,HOWARD,MATTHEW S. MINER,CONSPIRACY,"TX,WC",D,43315.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71264,HOWARD,DAVID C. RYBICKI,CONSPIRACY,"TX,WC",D,43283.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71265,HOWARD,HULSER,CONSPIRACY,"TX,WC",D,43252.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71266,HOWARD,DOWNING,CONSPIRACY,"TX,WC",D,43215.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71681,WHITTEMORE,JOHN CRONAN,CONSPIRACY,WC,D,43258.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71706,"DALTON, JR.",HULSER,DRUGS - ILLEGAL,"OM,WO",O,43228.0,9.0,0.0,9.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71797,KOVACHEVICH,HULSER,CONSPIRACY,WC,D,43066.0,30.0,6.0,210.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71798,KOVACHEVICH,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43308.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71799,KOVACHEVICH,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43280.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71800,KOVACHEVICH,RICHARD DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43392.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71801,KOVACHEVICH,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43210.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71802,KOVACHEVICH,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43259.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71803,KOVACHEVICH,MATTHEW MINER,DRUGS - ILLEGAL,"TX,WC",D,43355.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71804,KOVACHEVICH,HULSER,DRUGS - ILLEGAL,WC,D,43430.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71907,"DALTON, JR.",DOWNING,DRUGS - ILLEGAL,WC,D,43172.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71908,"DALTON, JR.",DOWNING,DRUGS - ILLEGAL,WC,D,43258.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71909,"DALTON, JR.",DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43277.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71910,"DALTON, JR.",MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43332.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71911,"DALTON, JR.",HULSER,DRUGS - ILLEGAL,"TX,WC",D,43424.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-71913,"DALTON, JR.",HULSER,DRUGS - ILLEGAL,WC,D,43201.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA MIDDLE,2018-74801,KOVACHEVICH,RYBICKI,NARCOTICS,WC,D,43279.0,30.0,0.0,30.0,INSTALLED AND USED,7.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2018-74805,KOVACHEVICH,MINER,NARCOTICS,WC,D,43210.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,129981.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2018-74807,KOVACHEVICH,HULSER,NARCOTICS,WC,D,43258.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2018-77520,KOVACHEVICH,HULSER,NARCOTICS,WC,D,43430.0,30.0,0.0,30.0,INSTALLED AND USED,21.0,58.0,3,"1,220",286,0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2018-77719,
FLORIDA MIDDLE,2018-77700,KOVACHEVICH,DAY,NARCOTICS,WC,D,43104.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,76.0,21,"4,484","2,722",0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA MIDDLE,2018-77702,KOVACHEVICH,HULSER,NARCOTICS,WC,D,43147.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,102.0,18,"3,067",599,0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA MIDDLE,2018-77704,KOVACHEVICH,HULSER,NARCOTICS,WC,D,43161.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,42.0,5,664,234,0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA MIDDLE,2018-77706,"DALTON, JR.",DOWNING,MURDER,WC,D,43172.0,30.0,2.0,90.0,INSTALLED AND USED,89.0,483.0,59,"42,993",666,9419.0,9419.0,22.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2018-77708,KOVACHEVICH,DOWNING,NARCOTICS,WC,D,43186.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,18.0,5,542,111,0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA MIDDLE,2018-77710,SCRIVEN,MINER,CONSPIRACY,WC,D,43199.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,8.0,10,463,112,76718.0,22000.0,4.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2018-77712,"DALTON, JR.",HULSER,MURDER,OM,O,43224.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2018-77706,RELATED TO NO. 2018-77706
FLORIDA MIDDLE,2018-77714,KOVACHEVICH,HULSER,CONSPIRACY,WC,D,43227.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0.0,0.0,0,0,0,763.0,763.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2018-77717,MORALES HOWARD,HULSER,NARCOTICS,WC,D,43252.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,51.0,92,"1,517",184,60892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2018-77719,KOVACHEVICH,SWARTZ,NARCOTICS,WC,D,43308.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,121.0,12,"3,500","1,178",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA MIDDLE,2018-77722,KOVACHEVICH,MINER,NARCOTICS,WC,D,43355.0,30.0,1.0,60.0,INSTALLED AND USED,44.0,256.0,10,"11,243","1,620",0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2018-77719,
FLORIDA MIDDLE,2018-77724,KOVACHEVICH,DOWNING,NARCOTICS,WC,D,43392.0,30.0,0.0,30.0,INSTALLED AND USED,25.0,92.0,6,"2,312",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2018-77719,
FLORIDA  NORTHERN,2015-74811,RODGERS,O'BRIEN,NARCOTICS,WC,D,42157.0,30.0,2.0,90.0,INSTALLED AND USED,89.0,135.0,145,"11,994","4,243",62767.0,3330.0,8.0,0.0,0.0,0.0,0.0,8.0,,
FLORIDA  NORTHERN,2017-69050,WALKER,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43040.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA  NORTHERN,2017-69348,WALKER,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43056.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA  NORTHERN,2017-69993,WALKER,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43087.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA  NORTHERN,2018-69086,RODGERS,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43249.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA  NORTHERN,2018-69892,RODGERS,MATTHEW S. MINER AND RAYMOND HULSER,DRUGS - ILLEGAL,"TX,WC",D,43325.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA  NORTHERN,2018-70282,RODGERS,MATTHEW S. MINER AND RAYMOND HULSER,DRUGS - ILLEGAL,"TX,WC",D,43325.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA  NORTHERN,2018-70406,RODGERS,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43354.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA SOUTHERN,2016-74823,"SCOLA, JR.",O'BRIEN,NARCOTICS,TX,D,42572.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,40935.0,2517.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA SOUTHERN,2016-74825,GAYLES,O'BRIEN,NARCOTICS,TX,D,42416.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,0.0,0,0,0,6562.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA SOUTHERN,2016-74831,"SCOLA, JR.",SUH,NARCOTICS,TX,D,42528.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,14047.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA SOUTHERN,2017-74813,MORENO,CHEUNG,NARCOTICS,TX,D,42783.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,8.0,15,750,589,418839.0,34442.0,3.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA SOUTHERN,2017-74815,MIDDLEBROOKS,MCFADDEN,NARCOTICS,WC,D,42902.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,60.0,2,"1,795",188,29657.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA SOUTHERN,2017-74817,UNGARO,DOWNING,NARCOTICS,TX,D,42909.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA SOUTHERN,2017-74819,UNGARO,MCFADDEN,NARCOTICS,TX,D,43010.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA SOUTHERN,2017-74821,MARRA,RYBICKI,NARCOTICS,WC,D,42933.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,16.0,6,474,78,29437.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA SOUTHERN,2017-74827,MARRA,HULSER,NARCOTICS,WC,D,42940.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,67.0,42,"1,010",243,13257.0,642.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA SOUTHERN,2017-74829,MARTINEZ,HULSER,NARCOTICS,TX,D,42866.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,109.0,112,"3,257","2,510",0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA SOUTHERN,2017-74833,UNGARO,SWARTZ,NARCOTICS,WC,D,42950.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA SOUTHERN,2017-74835,MIDDLEBROOKS,HULSER,NARCOTICS,WC,D,42892.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,60.0,10,"1,803",538,21263.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA SOUTHERN,2017-74837,UNGARO,HULSER,NARCOTICS,WC,D,42851.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,385.0,48,"11,564","10,340",0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA SOUTHERN,2017-74839,UNGARO,BLANCO,NARCOTICS,TX,D,42817.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,38.0,69,"2,307","1,864",0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA SOUTHERN,2017-74841,MARRA,MCFADDEN,NARCOTICS,WC,D,42978.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,32.0,1,952,515,27702.0,1284.0,3.0,0.0,0.0,0.0,0.0,3.0,,
FLORIDA SOUTHERN,2017-74843,UNGARO,HULSER,NARCOTICS,WC,D,42879.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,22.0,17,654,521,0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA SOUTHERN,2017-74845,UNGARO,DOWNING,NARCOTICS,TX,D,42802.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,17.0,30,"1,035",806,0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA SOUTHERN,2017-74847,MARRA,MCFADDEN,NARCOTICS,WC,D,42842.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,110.0,8,"3,309",958,26491.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,,
FLORIDA SOUTHERN,2017-74849,UNGARO,BLANCO,NARCOTICS,TX,D,42832.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,39.0,15,"1,156",789,0,0,0,0,0.0,0.0,0.0,0,,
FLORIDA SOUTHERN,2018-69276,MIDDLEBROOKS,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43369.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA SOUTHERN,2018-69688,ROSENBERG,HULSER,MONEY LAUNDERING,"TX,WC",D,43314.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA SOUTHERN,2018-70031,MARRA,MATTHEW MINER,DRUGS - ILLEGAL,"TX,WC",D,43433.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA SOUTHERN,2018-70373,ROSENBERG,HULSER,MONEY LAUNDERING,"TX,WC",D,43314.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA SOUTHERN,2018-70501,MARRA,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43399.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA SOUTHERN,2018-71742,ROSENBERG,HULSER,OTHER,"TX,WC",D,43315.0,18.0,0.0,18.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
FLORIDA SOUTHERN,2018-75806,ALTONAGA,DOWNING,NARCOTICS,WC,D,43403.0,30.0,0.0,0.0,INSTALLED AND USED,30.0,57.0,17,"1,723",430,0,500.0,0,0.0,0.0,0.0,0.0,0.0,,
