Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts per Day,Number of Persons Intercepted,Number of Intercepts,Number of Incriminating Intercepts,Total Cost ($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"CALIFORNIA, SOUTHERN",2013-48,LORENZ,BLANCO,NARCOTICS,WC,D,41361.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-49,LORENZ,BLANCO,NARCOTICS,"WC,TX",D,41361.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-50,LORENZ,BLANCO,NARCOTICS,WC,D,41361.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-51,CURIEL,BLANCO,NARCOTICS,"WC,TX",D,41362.0,30,0,30,INSTALLED AND USED,29.0,2.0,10.0,45.0,23.0,22914.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-52,LORENZ,O'BRIEN,NARCOTICS,TX,D,41365.0,30,1,60,INSTALLED AND USED,57.0,1008.0,105.0,57473.0,7979.0,120414.0,4000.0,6.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-53,HAYES,O'BRIEN,NARCOTICS,WC,D,41372.0,30,0,30,INSTALLED AND USED,29.0,119.0,39.0,3452.0,442.0,21500.0,4000.0,2.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-54,HAYES,O'BRIEN,NARCOTICS,WC,D,41373.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-55,HAYES,O'BRIEN,NARCOTICS,WC,D,41373.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-56,BENITEZ,O'BRIEN,SMUGGLING,WC,D,41380.0,30,0,30,INSTALLED AND USED,30.0,4.0,9.0,127.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-40,RELATED TO NO. 2013-40
"CALIFORNIA, SOUTHERN",2013-57,BENITEZ,O'BRIEN,SMUGGLING,WC,D,41380.0,30,0,30,INSTALLED AND USED,30.0,26.0,11.0,779.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-40,RELATED TO NO. 2013-40
"CALIFORNIA, SOUTHERN",2013-58,CURIEL,BLANCO,NARCOTICS,"WC,TX",D,41383.0,30,0,30,INSTALLED AND USED,18.0,15.0,26.0,268.0,103.0,23350.0,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-59,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41400.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-60,BURNS,BLANCO,NARCOTICS,WC,D,41404.0,30,0,30,INSTALLED AND USED,12.0,42.0,20.0,500.0,100.0,21000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-61,LORENZ,O'BRIEN,NARCOTICS,"WC,TX",D,41422.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-62,LORENZ,O'BRIEN,NARCOTICS,"WC,TX",D,41422.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-63,LORENZ,O'BRIEN,NARCOTICS,"WC,TX",D,41422.0,30,3,120,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-64,LORENZ,O'BRIEN,NARCOTICS,"WC,TX",D,41422.0,30,4,150,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-65,LORENZ,O'BRIEN,NARCOTICS,"WC,TX",D,41422.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-66,LORENZ,O'BRIEN,NARCOTICS,"WC,TX",D,41422.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-67,LORENZ,O'BRIEN,NARCOTICS,"WC,TX",D,41422.0,30,3,120,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-68,LORENZ,O'BRIEN,NARCOTICS,"WC,TX",D,41422.0,30,4,150,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-69,LORENZ,O'BRIEN,NARCOTICS,WC,D,41422.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-70,LORENZ,O'BRIEN,NARCOTICS,WC,D,41422.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-71,LORENZ,O'BRIEN,NARCOTICS,EO,D,41422.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-72,LORENZ,O'BRIEN,NARCOTICS,WC,D,41422.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-73,LORENZ,O'BRIEN,NARCOTICS,WC,D,41422.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-74,LORENZ,O'BRIEN,NARCOTICS,EO,D,41422.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-75,LORENZ,O'BRIEN,NARCOTICS,WC,D,41422.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-76,LORENZ,O'BRIEN,NARCOTICS,WC,D,41422.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-77,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41430.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-78,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41430.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-79,SABRAW,BLANCO,NARCOTICS,"TX,EO",D,41435.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-80,SABRAW,O'BRIEN,NARCOTICS,EO,B,41435.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-81,SAMMARTINO,O'BRIEN,NARCOTICS,"WC,TX",D,41438.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-82,MOSKOWITZ,O'BRIEN,NARCOTICS,TX,D,41443.0,30,3,120,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-83,BATTAGLIA,BITKOWER,FRAUD,"WC,TX",D,41445.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-84,HAYES,O'BRIEN,NARCOTICS,"WC,TX",D,41451.0,30,1,60,INSTALLED AND USED,58.0,231.0,50.0,13413.0,3856.0,45512.0,3400.0,2.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-85,HAYES,O'BRIEN,NARCOTICS,"WC,TX",D,41451.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-86,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41463.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-87,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41463.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-88,BENITEZ,O'BRIEN,NARCOTICS,"WC,TX",D,41473.0,30,0,30,INSTALLED AND USED,28.0,37.0,25.0,1038.0,133.0,22001.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-89,BENITEZ,O'BRIEN,NARCOTICS,"WC,TX",D,41473.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-90,SABRAW,BLANCO,NARCOTICS,"TX,EO",D,41478.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-91,SABRAW,O'BRIEN,NARCOTICS,"TX,EO",D,41478.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-92,SABRAW,O'BRIEN,NARCOTICS,"TX,EO",D,41478.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-93,HAYES,BLANCO,NARCOTICS,WC,D,41480.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-94,HAYES,BLANCO,NARCOTICS,"WC,TX",D,41480.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-95,HAYES,BITKOWER,NARCOTICS,"WC,TX",D,41481.0,30,0,30,INSTALLED AND USED,29.0,121.0,30.0,3506.0,1105.0,22500.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-96,HAYES,BITKOWER,NARCOTICS,"WC,TX",D,41481.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-97,LORENZ,O'BRIEN,NARCOTICS,EO,D,41491.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-98,LORENZ,O'BRIEN,NARCOTICS,EO,D,41491.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-99,LORENZ,O'BRIEN,NARCOTICS,EO,D,41495.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-100,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41501.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-101,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41501.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-102,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41501.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-103,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41501.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-104,SABRAW,O'BRIEN,NARCOTICS,"TX,EO",D,41507.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-105,BATTAGLIA,O'BRIEN,NARCOTICS,"WC,TX",D,41509.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-106,HAYES,BLANCO,NARCOTICS,"WC,TX",D,41514.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-107,HAYES,BLANCO,NARCOTICS,"WC,TX",D,41514.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-108,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41522.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-109,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41531.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-110,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41531.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-111,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41531.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-112,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41531.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-113,LORENZ,O'BRIEN,NARCOTICS,EO,D,41533.0,30,2,90,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-114,LORENZ,O'BRIEN,NARCOTICS,EO,D,41533.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-115,LORENZ,O'BRIEN,NARCOTICS,EO,D,41533.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-116,LORENZ,O'BRIEN,NARCOTICS,EO,D,41533.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-117,SABRAW,O'BRIEN,NARCOTICS,"TX,EO",D,41537.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-118,SABRAW,O'BRIEN,NARCOTICS,"TX,EO",D,41562.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-119,MOSKOWITZ,O'BRIEN,ASSAULT,"WC,TX",D,41569.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-120,MOSKOWITZ,O'BRIEN,ASSAULT,"WC,TX",D,41569.0,30,1,60,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-121,LORENZ,O'BRIEN,NARCOTICS,"WC,TX",D,41575.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-122,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41576.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-123,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41576.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-124,BENCIVENGO,O'BRIEN,NARCOTICS,"WC,TX",D,41576.0,30,0,30,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,2006-25,WEINSHIENK,SWARTZ,CONSPIRACY,WC,D,38891.0,30,4,150,INSTALLED AND USED,150.0,1.0,32.0,187.0,0.0,1545004.0,275000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,2007-22,KANE,SWARTZ,NARCOTICS,WC,D,39058.0,30,0,30,INSTALLED AND USED,30.0,494.0,129.0,14819.0,422.0,316261.0,5000.0,25.0,0.0,25.0,0.0,0.0,25.0,,
COLORADO,2007-23,KANE,SABIN,NARCOTICS,WC,D,39066.0,30,5,180,INSTALLED AND USED,180.0,84.0,155.0,15125.0,2367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2007-22,RELATED TO NO. 2007-22
COLORADO,2007-24,KANE,WARREN,NARCOTICS,WC,D,39118.0,30,0,30,INSTALLED AND USED,30.0,494.0,143.0,14809.0,893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2007-22,RELATED TO NO. 2007-22
COLORADO,2007-25,KANE,SABIN,NARCOTICS,WC,D,39142.0,30,2,90,INSTALLED AND USED,90.0,163.0,127.0,14671.0,708.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2007-22,RELATED TO NO. 2007-22
COLORADO,2007-26,KANE,SABIN,NARCOTICS,WC,D,39156.0,30,0,30,INSTALLED AND USED,30.0,488.0,128.0,14655.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2007-22,RELATED TO NO. 2007-22
COLORADO,2007-27,KANE,SABIN,NARCOTICS,WC,D,39240.0,30,1,60,INSTALLED AND USED,60.0,244.0,111.0,14620.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2007-22,RELATED TO NO. 2007-22
COLORADO,2007-28,KANE,SABIN,NARCOTICS,WC,D,39252.0,30,2,90,INSTALLED AND USED,90.0,6.0,88.0,583.0,476.0,258870.0,17950.0,3.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,2007-29,KANE,SABIN,NARCOTICS,WC,D,39279.0,30,1,60,INSTALLED AND USED,60.0,247.0,129.0,14819.0,422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2007-22,RELATED TO NO. 2007-22
COLORADO,2008-15,BABCOCK,SABIN,NARCOTICS,WC,D,39457.0,30,0,30,INSTALLED AND USED,30.0,184.0,382.0,5535.0,1355.0,49273.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,2009-26,MILLER,BLANCO,NARCOTICS,"WC,TX",D,40084.0,30,1,60,INSTALLED AND USED,39.0,97.0,15.0,3779.0,583.0,28400.0,5260.0,0.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,2009-27,KANE,BLANCO,NARCOTICS,WC,D,40108.0,30,0,30,INSTALLED AND USED,30.0,137.0,63.0,4111.0,836.0,42994.0,0.0,12.0,4.0,0.0,0.0,0.0,12.0,,
COLORADO,2010-45,KANE,BLANCO,NARCOTICS,WC,D,40260.0,30,2,90,INSTALLED AND USED,90.0,90.0,366.0,8135.0,1536.0,214110.0,85000.0,6.0,0.0,0.0,0.0,0.0,1.0,,
COLORADO,2010-46,KANE,ANDRES,NARCOTICS,WC,D,40312.0,30,1,60,INSTALLED AND USED,60.0,11.0,121.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2010-45,RELATED TO NO. 2010-45
COLORADO,2010-47,ARGUELLO,BLANCO,NARCOTICS,WC,D,40408.0,30,0,30,INSTALLED AND USED,30.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,2010-48,ARGUELLO,KEENEY,NARCOTICS,WC,D,40420.0,30,0,30,INSTALLED AND USED,30.0,2.0,18.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,2010-49,ARGUELLO,BLANCO,NARCOTICS,WC,D,40443.0,30,0,30,INSTALLED AND USED,30.0,4.0,16.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,2010-50,ARGUELLO,BLANCO,NARCOTICS,WC,D,40464.0,30,0,30,INSTALLED AND USED,30.0,6.0,14.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,2011-20,MILLER,BLANCO,CONSPIRACY,WC,D,40616.0,30,0,30,INSTALLED AND USED,30.0,3133.0,1454.0,93995.0,14812.0,998945.0,250000.0,60.0,0.0,50.0,20.0,100.0,40.0,,
COLORADO,2011-21,MILLER,BLANCO,CONSPIRACY,WC,D,40634.0,30,0,30,INSTALLED AND USED,30.0,3131.0,1436.0,93917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-20,RELATED TO NO. 2011-20
COLORADO,2011-22,MILLER,BROWN,CONSPIRACY,WC,D,40647.0,30,0,30,INSTALLED AND USED,30.0,3137.0,1471.0,94102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-20,RELATED TO NO. 2011-20
COLORADO,2011-23,MILLER,BROWN,CONSPIRACY,WC,D,40654.0,30,0,30,INSTALLED AND USED,30.0,3128.0,1423.0,93834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-20,RELATED TO NO. 2011-20
COLORADO,2011-24,MILLER,BLANCO,CONSPIRACY,WC,D,40672.0,30,0,30,INSTALLED AND USED,30.0,3134.0,1448.0,94014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-20,RELATED TO NO. 2011-20
COLORADO,2011-25,MILLER,BLANCO,CONSPIRACY,WC,D,40683.0,30,0,30,INSTALLED AND USED,30.0,3128.0,1419.0,93825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-20,RELATED TO NO. 2011-20
COLORADO,2011-26,MILLER,BLANCO,CONSPIRACY,WC,D,40689.0,30,1,60,INSTALLED AND USED,60.0,1566.0,1444.0,93972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-20,RELATED TO NO. 2011-20
COLORADO,2011-27,KANE,BROWN,NARCOTICS,"WC,TX",D,40694.0,30,4,150,NO PROSECUTOR REPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,2011-28,MILLER,BROWN,CONSPIRACY,WC,D,40701.0,30,2,90,INSTALLED AND USED,90.0,1055.0,1527.0,94930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2011-20,RELATED TO NO. 2011-20
