Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
"CALIFORNIA, SOUTHERN",2012-128,HOUSTON,BROWN,DRUGS - ILLEGAL,WC,D,40904.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,89.0,19,"2,600",296,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,
"CALIFORNIA, SOUTHERN",2012-129,HOUSTON,BROWN,DRUGS - ILLEGAL,WC,D,40904.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,124.0,30,"3,729",80,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,
"CALIFORNIA, SOUTHERN",2012-130,SABRAW,BLANCO,DRUGS - ILLEGAL,WC,D,40942.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,13.0,3,107,0,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,
"CALIFORNIA, SOUTHERN",2012-131,SABRAW,BLANCO,DRUGS - ILLEGAL,WC,D,40942.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,1.0,3,18,2,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,
"CALIFORNIA, SOUTHERN",2012-132,SABRAW,BLANCO,DRUGS - ILLEGAL,WC,D,40942.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,169.0,26,"3,388",441,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,
"CALIFORNIA, SOUTHERN",2012-133,SABRAW,BLANCO,DRUGS - ILLEGAL,WC,D,40942.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,53.0,14,"1,068",189,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,
"CALIFORNIA, SOUTHERN",2012-134,SABRAW,BLANCO,DRUGS - ILLEGAL,WC,D,40942.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,31.0,9,500,15,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,
"CALIFORNIA, SOUTHERN",2012-135,SABRAW,BLANCO,DRUGS - ILLEGAL,WC,D,40942.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,24.0,8,338,30,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-136,HOUSTON,BROWN,DRUGS - ILLEGAL,WC,D,40904.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,237.0,13,"14,220",160,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,
"CALIFORNIA, SOUTHERN",2012-137,SABRAW,BLANCO,DRUGS - ILLEGAL,WC,D,40984.0,30.0,0.0,30.0,INSTALLED AND USED,7.0,55.0,7,389,47,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-138,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,40984.0,30.0,0.0,30.0,INSTALLED AND USED,9.0,140.0,14,"1,266",35,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,
"CALIFORNIA, SOUTHERN",2012-139,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,40984.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,95.0,18,"1,054",213,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-140,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,40984.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,117.0,21,"1,884",239,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-141,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,40868.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,41.0,75,"4,979",40,1129915.0,8000.0,,,,,,,,
"CALIFORNIA, SOUTHERN",2012-142,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,41019.0,30.0,0.0,30.0,INSTALLED AND USED,5.0,25.0,7,128,19,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-143,SABRAW,BLANCO,DRUGS - ILLEGAL,WC,D,40942.0,30.0,2.0,90.0,INSTALLED AND USED,68.0,38.0,32,"2,640",480,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-144,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,41019.0,30.0,0.0,30.0,INSTALLED AND USED,6.0,99.0,11,597,133,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-145,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,41019.0,30.0,0.0,30.0,INSTALLED AND USED,4.0,19.0,4,79,10,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-146,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,41019.0,30.0,0.0,30.0,INSTALLED AND USED,5.0,90.0,31,453,103,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-147,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,40984.0,30.0,1.0,60.0,INSTALLED AND USED,46.0,192.0,46,"8,876",334,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-148,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,41019.0,30.0,0.0,30.0,INSTALLED AND USED,9.0,77.0,19,701,80,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-149,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,41019.0,30.0,0.0,30.0,INSTALLED AND USED,6.0,74.0,11,449,95,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-150,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,40984.0,30.0,1.0,60.0,INSTALLED AND USED,50.0,78.0,23,"3,921",506,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,
"CALIFORNIA, SOUTHERN",2012-151,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,41019.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,79.0,15,"2,226",99,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2012-152,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,41040.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,77.0,40,"2,246",542,1129915.0,8000.0,,,,,,,,
"CALIFORNIA, SOUTHERN",2012-153,SABRAW,BROWN,DRUGS - ILLEGAL,WC,D,41040.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,144.0,23,"4,185",249,1129915.0,8000.0,,,,,,,RELATED TO NO. 2012-141,RELATED TO NO. 2012-141
"CALIFORNIA, SOUTHERN",2013-204,MOSKOWITZ,O'BRIEN,DRUGS - ILLEGAL,WC,D,41302.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,,,,,149336.0,21669.0,17.0,0.0,,,,17.0,,
"CALIFORNIA, SOUTHERN",2013-205,HOUSTON,O'BRIEN,$LAUNDERING,WC,D,41368.0,30.0,0.0,30.0,INSTALLED AND USED,9.0,86.0,38,781,90,1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2013-206,MOSKOWITZ,O'BRIEN,NARCOTICS,WC,D,41234.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,,,,,177242.0,14709.0,1.0,,,,,1.0,,
"CALIFORNIA, SOUTHERN",2013-207,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41492.0,30.0,0.0,30.0,INSTALLED AND USED,9.0,123.0,37,"1,109",36,1488309.0,80710.0,,,,,,,,
"CALIFORNIA, SOUTHERN",2013-208,MOSKOWITZ,O'BRIEN,DRUGS - ILLEGAL,"WC,EO",D,41485.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,,,,,,,,,,,,,RELATED TO NO. 2013-204,RELATED TO NO. 2013-204
"CALIFORNIA, SOUTHERN",2013-209,LORENZ,BLANCO,$LAUNDERING,EO,D,41494.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,4561.0,278,"132,284","19,862",24164.0,2000.0,,,,,,,,
"CALIFORNIA, SOUTHERN",2013-210,HAYES,,NARCOTICS,"WC,TX",D,41514.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,,,,,86130.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2013-212,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41533.0,30.0,0.0,30.0,INSTALLED AND USED,24.0,1391.0,215,"33,392","5,711",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2013-213,HOUSTON,O'BRIEN,$LAUNDERING,WC,D,41400.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,41.0,65,"4,971",696,1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2013-214,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41533.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,2353.0,141,"70,619","6,177",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2013-215,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41492.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,1376.0,98,"82,571","11,402",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2013-216,MOSKOWITZ,O'BRIEN,DRUGS - ILLEGAL,"WC,EO",D,41520.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,,,,,,,,,,,,,RELATED TO NO. 2013-204,RELATED TO NO. 2013-204
"CALIFORNIA, SOUTHERN",2013-217,MOSKOWITZ,O'BRIEN,DRUGS - ILLEGAL,"WC,EO",D,41520.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,,,,,,,,,,,,,RELATED TO NO. 2013-204,RELATED TO NO. 2013-204
"CALIFORNIA, SOUTHERN",2013-218,MOSKOWITZ,O'BRIEN,DRUGS - ILLEGAL,"WC,EO",D,41577.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,,,,,,,,,,,,,RELATED TO NO. 2013-204,RELATED TO NO. 2013-204
"CALIFORNIA, SOUTHERN",2013-219,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41586.0,30.0,0.0,30.0,INSTALLED AND USED,22.0,2900.0,479,"63,821","2,105",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2013-220,MOSKOWITZ,O'BRIEN,DRUGS - ILLEGAL,EO,D,41443.0,30.0,3.0,120.0,INSTALLED AND USED,100.0,,,,,,,,,,,,,RELATED TO NO. 2013-204,RELATED TO NO. 2013-204
"CALIFORNIA, SOUTHERN",2013-221,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41586.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,885.0,70,"26,575","6,250",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2013-222,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41586.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1259.0,85,"37,776","7,462",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2013-223,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41586.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1258.0,169,"37,743","5,503",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2013-224,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41586.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1458.0,149,"43,743","11,961",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2013-225,MOSKOWITZ,O'BRIEN,DRUGS - ILLEGAL,"WC,EO",D,41608.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,,,,,,,,,,,,,RELATED TO NO. 2013-204,RELATED TO NO. 2013-204
"CALIFORNIA, SOUTHERN",2013-226,MOSKOWITZ,O'BRIEN,HUMAN\SEX TRAFFICKING,"WC,TX",D,41569.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,48.0,291,"2,909","1,350",44366.0,0.0,,,,,,,,
"CALIFORNIA, SOUTHERN",2014-150,LORENZ,BLANCO,$LAUNDERING,EO,D,41667.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,1889.0,146,"28,337","1,070",33641.0,2000.0,,,,,,,RELATED TO NO. 2014-152,
"CALIFORNIA, SOUTHERN",2014-151,LORENZ,BLANCO,$LAUNDERING,EO,D,41667.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1127.0,84,"33,839","8,804",33641.0,2000.0,,,,,,,RELATED TO NO. 2014-152,
"CALIFORNIA, SOUTHERN",2014-152,LORENZ,BLANCO,$LAUNDERING,EO,D,41667.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,587.0,76,"17,621","2,923",33641.0,2000.0,,,,,,,,
"CALIFORNIA, SOUTHERN",2014-153,SABRAW,,NARCOTICS,"WC,TX",D,41668.0,30.0,1.0,60.0,INSTALLED AND USED,29.0,386.0,325,"11,206","1,099",79923.0,2850.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2014-155,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41669.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1449.0,109,"43,482","7,144",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-156,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41669.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,851.0,146,"25,539","6,713",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-157,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41669.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,523.0,106,"15,697","3,249",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-158,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41669.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,286.0,24,"8,590","2,370",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-159,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41533.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,514.0,96,"46,329","8,300",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-160,LORENZ,BLANCO,$LAUNDERING,EO,D,41667.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,460.0,182,"27,626","8,711",75949.0,4000.0,,,,,,,RELATED TO NO. 2014-152,
"CALIFORNIA, SOUTHERN",2014-161,HOUSTON,O'BRIEN,$LAUNDERING,WC,D,41722.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,4.0,17,146,38,1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-162,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41722.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,130.0,47,"3,778",568,1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-163,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41722.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,525.0,108,"15,766","2,713",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-164,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41722.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,2522.0,266,"75,670","14,000",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-165,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41722.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1191.0,90,"35,755","9,683",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-166,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41722.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1253.0,93,"37,615","4,258",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-167,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41722.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,632.0,99,"18,968","4,090",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-168,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41775.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1485.0,237,"44,561","3,964",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-169,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41775.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,682.0,67,"20,464","5,429",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-170,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41775.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,378.0,21,"11,356","3,125",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-171,HOUSTON,O'BRIEN,FIREARMS,EO,D,41780.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,747.0,70,"22,413","3,055",,,1.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-172,HOUSTON,O'BRIEN,FIREARMS,EO,D,41780.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1573.0,98,"47,197","5,623",17000.0,5000.0,1.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-173,MARILYN,O'BRIEN,NARCOTICS,WC,D,41792.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,69.0,25,"2,070",119,,,,,,,,,RELATED TO NO. 2014-174,RELATED TO NO. 2014-174
"CALIFORNIA, SOUTHERN",2014-174,HUFF,O'BRIEN,SMUGGLING,WC,D,41600.0,30.0,3.0,120.0,INSTALLED AND USED,102.0,53.0,75,"5,505",244,416358.0,6030.0,,,,,,,,
"CALIFORNIA, SOUTHERN",2014-175,HUFF,O'BRIEN,SMUGGLING,WC,D,41733.0,30.0,2.0,90.0,INSTALLED AND USED,85.0,94.0,150,"8,039","1,104",,,,,,,,,RELATED TO NO. 2014-174,RELATED TO NO. 2014-174
"CALIFORNIA, SOUTHERN",2014-176,HOUSTON,O'BRIEN,FIREARMS,EO,D,41829.0,30.0,0.0,30.0,INSTALLED AND USED,5.0,0.0,0,0,0,,4773.0,0.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-177,SABRAW,,NARCOTICS,"WC,TX",D,41796.0,30.0,1.0,60.0,INSTALLED AND USED,57.0,,,,,77487.0,4700.0,13.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2014-179,ANELLO,BLANCO,NARCOTICS,WC,D,41710.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,48.0,32,"4,354","4,334",5558129.0,3061426.0,1.0,0.0,0.0,0.0,0.0,1.0,,
"CALIFORNIA, SOUTHERN",2014-180,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41775.0,30.0,1.0,60.0,INSTALLED AND USED,42.0,582.0,103,"24,451","5,808",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-181,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41722.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,405.0,76,"36,512","7,726",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-182,HOUSTON,O'BRIEN,FIREARMS,EO,D,41829.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,288.0,76,"8,649",217,,4773.0,0.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-183,HOUSTON,O'BRIEN,FIREARMS,EO,D,41829.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,764.0,41,"22,929","5,351",,4773.0,0.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-184,HOUSTON,O'BRIEN,FIREARMS,EO,D,41829.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1521.0,41,"45,645","12,151",255108.0,74962.0,1.0,,,,,,,
"CALIFORNIA, SOUTHERN",2014-185,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41836.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,358.0,47,"10,046","2,879",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-186,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41836.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,735.0,53,"22,076","4,273",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-187,HOUSTON,O'BRIEN,$LAUNDERING,WO,D,41836.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,629.0,89,"18,878","4,773",1488309.0,80710.0,,,,,,,RELATED TO NO. 2013-207,
"CALIFORNIA, SOUTHERN",2014-188,SABRAW,O'BRIEN,FIREARMS,EO,D,41865.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1468.0,15,"44,052","6,352",,4021.0,3.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-189,BENCIVENGO,,NARCOTICS,"WC,WO,EE,ED,EO",D,41890.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,0.0,0,0,0,166964.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2014-190,HOUSTON,O'BRIEN,FIREARMS,EO,D,41907.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,389.0,37,"4,287",846,,7029.0,2.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-191,HOUSTON,O'BRIEN,FIREARMS,EO,D,41907.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,61.0,39,677,94,,7029.0,2.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-192,HOUSTON,O'BRIEN,FIREARMS,EO,D,41907.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,13.0,25,143,18,,7029.0,2.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-193,HOUSTON,O'BRIEN,FIREARMS,EO,D,41907.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1162.0,72,"34,880","3,896",,7029.0,2.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-194,HOUSTON,O'BRIEN,FIREARMS,EO,D,41907.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,755.0,132,"22,675","2,420",,7029.0,2.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-195,HOUSTON,O'BRIEN,FIREARMS,EO,D,41907.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1263.0,84,"37,901","7,497",,7029.0,2.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-196,HOUSTON,O'BRIEN,FIREARMS,EO,D,41907.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,394.0,18,"11,824","3,829",,7029.0,2.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-197,HOUSTON,O'BRIEN,FIREARMS,EO,D,41969.0,30.0,0.0,30.0,INSTALLED AND USED,6.0,0.0,0,0,0,,6277.0,0.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-198,ANELLO,BLANCO,DRUGS - ILLEGAL,AP,D,41911.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,215.0,,"12,901","2,539",38603.0,4000.0,,,,,,,,
"CALIFORNIA, SOUTHERN",2014-199,ANELLO,O'BRIEN,DRUGS - ILLEGAL,AP,D,41949.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,733.0,,"21,997","4,912",18094.0,2000.0,,,,,,,,
"CALIFORNIA, SOUTHERN",2014-200,HOUSTON,O'BRIEN,FIREARMS,EO,D,41969.0,30.0,0.0,30.0,INSTALLED AND USED,6.0,107.0,15,645,3,,6277.0,0.0,,,,,,RELATED TO NO. 2014-184,RELATED TO NO. 2014-184
"CALIFORNIA, SOUTHERN",2014-202,BENITEZ,,NARCOTICS,TX,D,41913.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,,,,,164884.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
"CALIFORNIA, SOUTHERN",2015-154,ANGELO,O'BRIEN,NARCOTICS,WC,D,41922.0,30.0,2.0,90.0,INSTALLED AND USED,45.0,1092.0,61,"49,177","18,152",,,,,,,,,RELATED TO NO. 2015-157,
"CALIFORNIA, SOUTHERN",2015-155,ANELLO,O'BRIEN,NARCOTICS,WC,D,42010.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,56.0,23,790,769,,,0.0,0.0,,,,0.0,RELATED TO NO. 2014-179,
"CALIFORNIA, SOUTHERN",2015-156,ANELLO,O'BRIEN,NARCOTICS,WC,D,42010.0,30.0,0.0,30.0,INSTALLED AND USED,23.0,37.0,16,857,688,,,0.0,0.0,,,,0.0,RELATED TO NO. 2014-179,
"CALIFORNIA, SOUTHERN",2015-157,ANELLO,O'BRIEN,NARCOTICS,WC,D,41963.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,115.0,44,"6,919","6,756",1358277.0,539865.0,0.0,0.0,,,,0.0,,
"CALIFORNIA, SOUTHERN",2015-158,ANELLO,O'BRIEN,NARCOTICS,WC,D,42010.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,89.0,44,"5,387","3,811",,,3.0,0.0,,,,0.0,RELATED TO NO. 2014-179,
"CALIFORNIA, SOUTHERN",2015-159,ANELLO,BLANCO,NARCOTICS,WC,D,42055.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,12.0,86,257,211,,,0.0,0.0,,,,0.0,RELATED TO NO. 2014-179,
