"Wiretap Table B-1. State Courts
Report of Court-Authorized Intercepts of Wire, Oral, or Electronic Communications Pursuant to 18 U.S.C. 2519
CALIFORNIA,SAN BERNARDINO,2018-76996,"POWELL, IV",RAMOS,OTHER,"TX,WC",D,43146.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,849.0,186,"25,457","2,710",65018.0,1018.0,33.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN BERNARDINO,2018-76998,"POWELL, IV",ROTH,NARCOTICS,"TX,WC",D,43159.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,2,7,0,30397.0,1500.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN BERNARDINO,2018-77140,"POWELL, IV",RAMOS,OTHER,"TX,WC",D,43045.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,723.0,785,"42,630","1,246",46000.0,14000.0,3.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN BERNARDINO,2018-77142,"POWELL, IV",FERMIN,NARCOTICS,"TX,WC",D,43165.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,21.0,0.0,0,0,0,7000.0,2000.0,0,0,0,0,0,0,,
CALIFORNIA,SAN BERNARDINO,2018-77144,"POWELL, IV",RAMOS,NARCOTICS,"TX,WC",D,43196.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,82.0,37,"2,446",270,33568.0,31868.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN BERNARDINO,2018-77146,"POWELL, IV",FERMIN,MURDER,"TX,WC",D,43202.0,30.0,1.0,60.0,INSTALLED AND USED,51.0,129.0,181,"6,566",260,44056.0,2440.0,1.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN BERNARDINO,2018-77148,"POWELL, IV",FERMIN,NARCOTICS,"TX,WC",D,43226.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,101.0,273,"6,086",810,66000.0,4000.0,5.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN BERNARDINO,2018-77150,"POWELL, IV",RAMOS,MURDER,"TX,WC",D,43231.0,30.0,0.0,30.0,INSTALLED AND USED,22.0,366.0,61,"8,045",80,18514.0,562.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN BERNARDINO,2018-77152,"POWELL, IV",RAMOS,NARCOTICS,"TX,WC",D,43237.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,25.0,0.0,0,0,0,1700.0,1700.0,0,0,0,0,0,0,,
CALIFORNIA,SAN BERNARDINO,2018-77154,"POWELL, IV",RAMOS,NARCOTICS,"TX,WC",D,43242.0,30.0,1.0,60.0,INSTALLED AND USED,49.0,25.0,63,"1,231",98,75500.0,4000.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN BERNARDINO,2018-77156,"POWELL, IV",FERMIN,NARCOTICS,"TX,WC",D,43256.0,30.0,0.0,30.0,INSTALLED AND USED,21.0,163.0,198,"3,431",307,24700.0,4600.0,1.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN BERNARDINO,2018-77158,"POWELL, IV",ROTH,NARCOTICS,"TX,WC",D,43283.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,39.0,78,"1,156",221,31500.0,30000.0,1.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN BERNARDINO,2018-77160,"POWELL, IV",ROTH,NARCOTICS,"TX,WC",D,43297.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,69.0,198,"1,036",347,42000.0,2000.0,8.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN BERNARDINO,2018-77161,"POWELL, IV",ASHLEY,NARCOTICS,"TX,WC",D,43070.0,30.0,2.0,90.0,INSTALLED AND USED,78.0,336.0,537,"26,246","3,144",129970.0,5170.0,17.0,0,0.0,0.0,0.0,1.0,,
CALIFORNIA,SAN BERNARDINO,2018-77162,"POWELL, IV",FERMIN,NARCOTICS,"TX,WC",D,43319.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,230.0,203,"13,818","2,209",113609.0,4000.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN BERNARDINO,2018-77163,"POWELL, IV",FERMIN,NARCOTICS,"TX,WC",D,43324.0,30.0,0.0,30.0,INSTALLED AND USED,9.0,88.0,50,795,50,8984.0,2504.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN BERNARDINO,2018-77164,"POWELL, IV",FERMIN,NARCOTICS,"TX,WC",D,43333.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,43.0,267,"1,287",160,42000.0,2000.0,4.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN DIEGO,2018-76795,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,42958.0,30.0,4.0,150.0,INSTALLED AND USED,145.0,91.0,495,"13,168","2,669",126665.0,3125.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN DIEGO,2018-76797,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,43077.0,30.0,1.0,60.0,INSTALLED AND USED,61.0,42.0,"1,810","2,592",620,286940.0,16569.0,4.0,0.0,0.0,0.0,0.0,4.0,,
CALIFORNIA,SAN DIEGO,2018-76799,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,43090.0,30.0,0.0,30.0,INSTALLED AND USED,19.0,14.0,6,264,84,23500.0,1500.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN DIEGO,2018-77011,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,43143.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,44.0,12,887,203,22000.0,2000.0,1.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN DIEGO,2018-77013,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,43138.0,30.0,2.0,90.0,INSTALLED AND USED,85.0,248.0,"2,338","21,118","1,890",125115.0,6190.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN DIEGO,2018-77015,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,43171.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,246.0,587,"7,143",741,46200.0,2225.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN DIEGO,2018-77017,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,43200.0,30.0,1.0,60.0,INSTALLED AND USED,54.0,441.0,"1,403","23,794","4,227",141950.0,9525.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN DIEGO,2018-77020,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,43209.0,30.0,0.0,30.0,INSTALLED AND USED,25.0,193.0,192,"4,828",586,28790.0,1530.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN DIEGO,2018-77022,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,43236.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,92.0,338,"2,749",186,30150.0,1530.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN DIEGO,2018-77024,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,43236.0,30.0,0.0,30.0,INSTALLED AND USED,25.0,31.0,41,786,226,24070.0,1530.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN DIEGO,2018-77026,SMYTH,STEPHAN,NARCOTICS,"TX,WC",D,43340.0,30.0,0.0,30.0,INSTALLED AND USED,12.0,1.0,5,11,7,1530.0,1530.0,0.0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN JOAQUIN,2018-77028,JOHNSON,SALAZAR,MURDER,"TX,WC",D,43229.0,30.0,1.0,60.0,INSTALLED AND USED,33.0,347.0,0,"11,452",409,131752.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,,
CALIFORNIA,SAN JOAQUIN,2018-77030,JOHNSON,REED,MURDER,"TX,WC",D,43371.0,30.0,0.0,30.0,INSTALLED AND USED,10.0,562.0,"1,186","5,622",305,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN JOAQUIN,2018-77032,JOHNSON,SALAZAR,MURDER,"TX,WC",D,43249.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,236.0,0,"4,245",381,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN JOAQUIN,2018-77034,JOHNSON,SALAZAR,MURDER,EO,O,43334.0,30.0,1.0,60.0,INSTALLED AND USED,50.0,0.0,0,0,0,287839.0,0.0,14.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN JOAQUIN,2018-77038,JOHNSON,SALAZAR,MURDER,"TX,WC",D,43339.0,30.0,1.0,59.0,INSTALLED AND USED,44.0,39.0,830,"1,715","1,047",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN JOAQUIN,2018-77040,JOHNSON,SALAZAR,MURDER,"TX,WC",D,43347.0,30.0,1.0,60.0,INSTALLED AND USED,36.0,214.0,"2,070","7,699",293,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN JOAQUIN,2018-77042,JOHNSON,SALAZAR,MURDER,"TX,WC",D,43354.0,30.0,1.0,46.0,INSTALLED AND USED,29.0,239.0,"1,385","6,938",741,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN JOAQUIN,2018-77044,JOHNSON,SALAZAR,MURDER,"TX,WC",D,43356.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,220.0,891,"5,944",197,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN JOAQUIN,2018-77159,JOHNSON,SALAZAR,MURDER,"TX,WC",D,43335.0,30.0,1.0,60.0,INSTALLED AND USED,49.0,142.0,704,"6,954",450,0.0,0.0,14.0,0,0.0,0.0,0.0,0.0,,
CALIFORNIA,SAN LUIS OBISPO,2018-77046,VAN ROOYEN,GRAN,MURDER,"TX,WC",D,43185.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,198.0,154,"5,743",161,27500.0,7500.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SAN LUIS OBISPO,2018-77048,VAN ROOYEN,GRAN,MURDER,"TX,WC,WS",H,43326.0,30.0,0.0,30.0,INSTALLED AND USED,17.0,13.0,10,223,75,29029.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SANTA CLARA,2018-76791,NISHIGAYA,ROSEN,CONSPIRACY,"OM,TX,WC",H,43069.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,113.0,0,"6,789","2,183",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SANTA CLARA,2018-76793,NISHIGAYA,ROSEN,CONSPIRACY,"OM,TX,WC","D,H",43088.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,30.0,0,"1,797",712,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SANTA CLARA,2018-77000,NISHIGAYA,ROSEN,NARCOTICS,"TX,WC","D,H",43102.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,49.0,62,"1,468",342,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SANTA CLARA,2018-77002,NISHIGAYA,ROSEN,NARCOTICS,"TX,WC","D,H",43124.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,113.0,36,"3,171",270,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SANTA CLARA,2018-77004,NISHIGAYA,ROSEN,NARCOTICS,"TX,WC","D,H",43137.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,61.0,30,859,157,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SANTA CLARA,2018-77006,NISHIGAYA,ROSEN,NARCOTICS,"TX,WC",H,43144.0,30.0,0.0,30.0,INSTALLED AND USED,7.0,30.0,11,212,26,36701.0,11895.0,12.0,0.0,0.0,0.0,0.0,7.0,,
CALIFORNIA,SANTA CLARA,2018-77009,NISHIGAYA,ROSEN,MURDER,"TX,WC,WS",H,43431.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,58.0,23,934,18,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SOLANO,2018-77050,ELLIS,ABRAMS,MURDER,"TX,WC",D,43340.0,23.0,0.0,23.0,INSTALLED AND USED,33.0,225.0,392,"7,418",80,159411.0,30000.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SOLANO,2018-77052,ELLIS,ABRAMS,MURDER,"TX,WC",D,43272.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,129.0,0,"1,931",17,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,SOLANO,2018-77054,ELLIS,ABRAMS,MURDER,"TX,WC",D,43293.0,30.0,0.0,30.0,INSTALLED AND USED,12.0,187.0,0,"2,248",25,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,STANISLAUS,2018-77056,WESTBROOK,HARRIS,MURDER,"TX,WC",D,43461.0,30.0,0.0,30.0,INSTALLED AND USED,2.0,37.0,16,73,23,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,STANISLAUS,2018-77058,VILLALOBOS,FLADAGER,MURDER,"TX,WC",D,43123.0,30.0,0.0,30.0,INSTALLED AND USED,22.0,182.0,169,"4,006",155,70359.0,1400.0,2.0,2.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,STANISLAUS,2018-77060,ASHLEY,FLADAGER,NARCOTICS,"TX,WC",D,43234.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,224.0,17,"6,713",506,16080.0,1200.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,STANISLAUS,2018-77062,ASHLEY,FLADAGER,NARCOTICS,"TX,WC",D,43360.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,117.0,138,"6,767","1,736",0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,STANISLAUS,2018-77064,ASHLEY,FLADAGER,NARCOTICS,"TX,WC",D,43368.0,30.0,0.0,30.0,INSTALLED AND USED,23.0,18.0,28,413,155,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,STANISLAUS,2018-77066,ASHLEY,FLADAGER,NARCOTICS,"TX,WC",D,43391.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,10.0,18,276,216,42947.0,6200.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,STANISLAUS,2018-77068,WESTBROOK,FLADAGER,MURDER,"TX,WC",D,43408.0,30.0,1.0,60.0,INSTALLED AND USED,36.0,321.0,132,"11,566",364,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,STANISLAUS,2018-77070,FREELAND,FLADAGER,MURDER,"TX,WC",D,43414.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,87.0,94,"2,598",81,0.0,0.0,0,0,0.0,0.0,0.0,0,,
CALIFORNIA,STANISLAUS,2018-77072,WESTBROOK,FLADAGER,MURDER,"TX,WC",D,43419.0,30.0,0.0,30.0,INSTALLED AND USED,25.0,108.0,54,"2,697",90,293300.0,7300.0,5.0,5.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,VENTURA,2018-76801,GUASCO,MAURIZI,OTHER,"TX,WC",D,43080.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,745.0,557,"22,341","1,637",72650.0,37750.0,7.0,3.0,0.0,0.0,0.0,4.0,,
CALIFORNIA,VENTURA,2018-77074,MURPHY,TOTTEN,MURDER,WC,D,43123.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,263.0,326,"7,899",137,31910.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,VENTURA,2018-77076,ROMERO,TOTTEN,OTHER,WC,D,43367.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1788.0,256,"53,630","2,569",56000.0,6000.0,14.0,7.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,VENTURA,2018-77078,HIRSCH,TOTTEN,OTHER,WC,D,43410.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,1914.0,"1,555","53,580",607,65000.0,15000.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-77232
CALIFORNIA,VENTURA,2018-77080,MURPHY,TOTTEN,NARCOTICS,WC,D,43123.0,30.0,0.0,30.0,INSTALLED AND USED,26.0,764.0,245,"19,865","3,449",24800.0,6400.0,28.0,2.0,0.0,0.0,0.0,3.0,,
CALIFORNIA,VENTURA,2018-77082,WORLEY,TOTTEN,NARCOTICS,WC,D,43152.0,30.0,0.0,30.0,INSTALLED AND USED,7.0,90.0,18,631,141,30631.0,1700.0,3.0,2.0,0.0,0.0,0.0,1.0,,
CALIFORNIA,VENTURA,2018-77084,WRIGHT,MAURIZI,NARCOTICS,WC,D,43222.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,376.0,250,"11,280",208,26900.0,11300.0,2.0,1.0,0.0,0.0,0.0,1.0,,
CALIFORNIA,VENTURA,2018-77086,HIRSCH,TOTTEN,NARCOTICS,WC,D,43237.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,246.0,150,"6,633","1,667",60813.0,3000.0,7.0,7.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,VENTURA,2018-77088,BENNETT,TOTTEN,NARCOTICS,WC,D,43264.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,453.0,267,"13,603","3,085",139752.0,24400.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-77086
CALIFORNIA,VENTURA,2018-77090,MURPHY,TOTTEN,NARCOTICS,WC,D,43292.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,66.0,161,"1,966",500,32100.0,12300.0,11.0,11.0,0.0,0.0,0.0,0.0,,
CALIFORNIA,VENTURA,2018-77092,HIRSCH,TOTTEN,OTHER,WC,D,43293.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,941.0,"1,851","28,217",732,76800.0,11400.0,6.0,3.0,0.0,0.0,0.0,3.0,,
CALIFORNIA,VENTURA,2018-77094,ROMERO,TOTTEN,NARCOTICS,WC,D,43305.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-77086
COLORADO,10TH JUDICIAL DISTRICT (PUEBLO),2018-68979,EYLER,CHOSTNER,NARCOTICS,WC,D,43104.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,10TH JUDICIAL DISTRICT (PUEBLO),2018-69020,EYLER,CHOSTNER,NARCOTICS,WC,D,43138.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,10TH JUDICIAL DISTRICT (PUEBLO),2018-69029,EYLER,CHOSTNER,NARCOTICS,WC,D,43178.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69062,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43339.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69089,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43153.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69091,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43354.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69110,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43168.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69247,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43108.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69301,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43125.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69534,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43362.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69709,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43377.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69750,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43168.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69792,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43140.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69883,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43116.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69900,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43320.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-69912,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43432.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-70029,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43391.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-70056,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43417.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-70094,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43153.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-70155,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43398.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-70303,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43391.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-70335,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43398.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-70560,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43362.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,17TH JUDICIAL DISTRICT (ADAMS),2018-70605,MURPHY,YOUNG,DRUGS - ILLEGAL,"OM,TX,WC",D,43167.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,18TH JUDICIAL DISTRICT (ARAPAHOE),2018-69262,"LEUTWYLER, III",BRAUCHLER,DRUGS - ILLEGAL,WC,D,43171.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,18TH JUDICIAL DISTRICT (ARAPAHOE),2018-69408,"LEUTWYLER, III",BRAUCHLER,DRUGS - ILLEGAL,WC,D,43187.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,18TH JUDICIAL DISTRICT (ARAPAHOE),2018-72127,"LEUTWYLER, III",BRAUCHLER,DRUGS - ILLEGAL,WC,D,43171.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,19TH JUDICIAL DISTRICT (WELD),2018-69770,LYONS,ROURKE,DRUGS - ILLEGAL,"EO,TX,WC",D,43207.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,19TH JUDICIAL DISTRICT (WELD),2018-69771,LYONS,ROURKE,DRUGS - ILLEGAL,"EO,TX,WC",D,43238.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
COLORADO,19TH JUDICIAL DISTRICT (WELD),2018-70006,LYONS,ROURKE,DRUGS - ILLEGAL,"EO,TX,WC",D,43236.0,30.0,0.0,30.0,INSTALLED AND USED,1.0,3.0,4,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,
COLORADO,19TH JUDICIAL DISTRICT (WELD),2018-70752,LYONS,ROURKE,DRUGS - ILLEGAL,"EO,TX,WC",D,43207.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0,221,0,0,0,0,7.0,0.0,0.0,0.0,0.0,2.0,,
COLORADO,21ST JUDICIAL DISTRICT (MESA),2017-70487,TIMBREZA,RUBINSTEIN,CONSPIRACY,"TX,WC",D,42795.0,30.0,1.0,60.0,INSTALLED AND USED,53.0,0,76,0,0,0,0,13.0,1.0,0.0,1.0,0.0,12.0,,
COLORADO,21ST JUDICIAL DISTRICT (MESA),2017-70488,TIMBREZA,RUBINSTEIN,CONSPIRACY,"TX,WC",D,42846.0,30.0,1.0,60.0,INSTALLED AND USED,39.0,0,73,0,778,0,0,13.0,1.0,0.0,1.0,0.0,12.0,RELATED TO NO. 2017-70489,RELATED TO NO. 2017-70487
COLORADO,21ST JUDICIAL DISTRICT (MESA),2017-70489,TIMBREZA,RUBINSTEIN,CONSPIRACY,"TX,WC",D,42830.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,17.0,27,345,127,25313.0,0.0,13.0,1.0,0.0,1.0,0.0,12.0,,RELATED TO NO. 2017-70487
COLORADO,21ST JUDICIAL DISTRICT (MESA),2017-70490,TIMBREZA,RUBINSTEIN,CONSPIRACY,"TX,WC",D,42839.0,30.0,1.0,60.0,INSTALLED AND USED,45.0,0,88,0,0,0,0,13.0,1.0,0.0,1.0,0.0,12.0,RELATED TO NO. 2017-70489,RELATED TO NO. 2017-70487
